k;Nk;Pk;logk;logPk
2;6;0.000447227;0.301029996;-3
3;33;0.00245975;0.477121255;-3
4;72;0.005366726;0.602059991;-2
5;275;0.020497913;0.698970004;-2
6;402;0.029964222;0.77815125;-2
7;798;0.059481216;0.84509804;-1
8;920;0.068574836;0.903089987;-1
9;1341;0.099955277;0.954242509;-1
10;1750;0.130441264;1;-1
11;1628;0.121347645;1.041392685;-1
12;1608;0.119856887;1.079181246;-1
13;1313;0.097868217;1.113943352;-1
14;1162;0.086612999;1.146128036;-1
15;630;0.046958855;1.176091259;-1
16;592;0.044126416;1.204119983;-1
17;340;0.025342874;1.230448921;-2
18;198;0.014758497;1.255272505;-2
19;76;0.005664878;1.278753601;-2
20;160;0.011926058;1.301029996;-2
21;63;0.004695886;1.322219295;-2
24;24;0.001788909;1.380211242;-3
25;25;0.001863447;1.397940009;-3
